University,Motto,Language,Translation,text,country
Indian Institute of Management Tiruchirappalli,ज्ञानम् अनंतम्,Sanskrit,Knowledge is Endless,Knowledge is Endless,India
Indian Institute of Management Kozhikode,yogaḥ karmasu kauśalam / योगः कर्मसु कौशलम् / yogaH karmasu kaushalam,Sanskrit,excellence in action is yoga,excellence in action is yoga,India
Indian Institute of Information Technology and Management Gwalior,viśvajīvanāmṛtam jñānam / विश्वजीवनामृतम् ज्ञानम् / vishvajeevanAmRRitam GYaanam,Sanskrit,Knowledge is the nectar of Life,Knowledge is the nectar of Life,India
Indian Statistical Institute,bhinneṣvaikyasya darśanam / भिन्नेष्वैक्यस्य दर्शनम् / bhinneShvaikyasya darshanam,Sanskrit,"even in differences, see the unity","even in differences, see the unity",India
Acharya Nagarjuna University,satye sarvaṃ pratiṣṭhitam / सत्ये सर्वं प्रतिष्ठितम् / satye sarvaM pratiShThitam,Sanskrit,Everything is established in truth,Everything is established in truth,India
All India Institute of Medical Sciences,śarīramādyaṃ khalu dharmasādhanam / शरीरमाद्यं खलु धर्मसाधनम् / shareeramAdyaM khalu dharmasAdhanam,Sanskrit,Body alone is the instrument of doing all duties/deeds,Body alone is the instrument of doing all duties/deeds,India
Amrita Vishwa Vidyapeetham,śraddhāvān labhate jñānam / श्रद्धावान् लभते ज्ञानम् / shraddhAvAn labhate GYaanam,Sanskrit,"Reverent attains wisdom, (from Rigveda)","Reverent attains wisdom, (from Rigveda)",India
Andhra University,tejasvi nāvadhītamastu / तेजस्वि नावधीतमस्तु / tejasvi naavadhiitamastu,Sanskrit,May our knowledge become brilliant,May our knowledge become brilliant,India
Veer Bahadur Singh Purvanchal University,tejasvi nāvadhītamastu / तेजस्वि नावधीतमस्तु / tejasvi naavadhiitamastu,Sanskrit,May our knowledge become brilliant,May our knowledge become brilliant,India
Banaras Hindu University,vidyayā amṛtaṃ aśnute / विद्ययाऽमृतमश्नुते / vidyayA amRRitaM ashnute,Sanskrit,be immortal through knowledge,be immortal through knowledge,India
Banasthali Vidyapith,sā vidyā yā vimuktaye / सा विद्या या विमुक्तये / sA vidyA yA vimuktaye,Sanskrit,That is knowledge which liberates,That is knowledge which liberates,India
"Bengal Engineering and Science University, Shibpur",uttiṣṭha jāgrata prāpya varānnibodhata / उत्तिष्ठ जाग्रत प्राप्य वरान्निबोधत / uttiShTha jAgrata prApya varAnnibodhata,Sanskrit,"arise, awake, obtaining worthy (teachers), know (the truth)","arise, awake, obtaining worthy (teachers), know (the truth)",India
"Birla Institute of Technology, Mesra, Ranchi",sā vidyā yā vimuktaye / सा विद्या या विमुक्तये / sA vidyA yA vimuktaye,Sanskrit,That is knowledge which liberates,That is knowledge which liberates,India
"Birla Institute of Technology and Science, Pilani",jñānaṃ paramaṃ balam / ज्ञानं परमं बलम् / GYaanaM paramaM balam,Sanskrit,knowledge is the supreme power,knowledge is the supreme power,India
Central Board of Secondary Education,asato mā sadgamaya / असतो मा सद्गमय / asato mA sadgamaya,Sanskrit,Lead us From Untruth to Truth,Lead us From Untruth to Truth,India
Chaitanya Bharathi Institute of Technology,swayam tejaswin bhava,Sanskrit,Be self-enlightened,Be self-enlightened,India
Cochin University of Science and Technology,tejasvi nāvadhītamastu / तेजस्वि नावधीतमस्तु / tejasvi naavadhiitamastu,Sanskrit,May our knowledge become brilliant,May our knowledge become brilliant,India
"College of Engineering, Trivandrum",karma jyayoghya karmanah,Sanskrit,NA,NA,India
Devi Ahilya Vishwavidyalaya,dhiyo yo naḥ pracodayāt / धियो यो नः प्रचोदयात् / dhiyo yo naH prachodayaat,Sanskrit,may (the divine power) propel our intellect,may (the divine power) propel our intellect,India
University of Mumbai,शीलष्टतफला विद्या,Sanskrit,The Fruit of Learning is Character and Righteous Conduct.,The Fruit of Learning is Character and Righteous Conduct.,India
University of Delhi,निष्ठा धृति: सत्यम,Sanskrit,Dedicated to the Truth,Dedicated to the Truth,India
University of Pune,य: क्रियावान् स पण्डितः,Sanskrit,He who is industrious is learned,He who is industrious is learned,India
University of Calcutta,Advancement of Learning,English,NA,Advancement of Learning,India
Visva Bharati University,Yatra visvam bhavatyekanidam,Sanskrit,Where the world makes a home in a single nest,Where the world makes a home in a single nest,India
Gujarat National Law University,ā no bhadrāḥ kratavo yantu viśvataḥ  / आ नो भद्राः क्रतवो यन्तु विश्वतः / A no bhadraaH kratavo yantu vishvataH {from -(1.89.1 rigveda)},Sanskrit,"Let good (thoughts) come from everywhere, from all the world","Let good (thoughts) come from everywhere, from all the world",India
Guru Gobind Singh Indraprastha University,ज्योतिवृ्णीत तमसो विजानऩ /jyotivranit tamso vijajnam,Sanskrit,Cleave the darkness and light through knowledge.,Cleave the darkness and light through knowledge.,India
Kurukshetra University,yogastha kuru karmāṇi / योगस्थ कुरु कर्माणि / yogastha kuru karmANi,Sanskrit,do while steadfast in yoga,do while steadfast in yoga,India
"Madan Mohan Malaviya Engineering College, Gorakhpur",yogaḥ karmasu kauśalam / योगः कर्मसु कौशलम् / yogaH karmasu kaushalam,Sanskrit,excellence in action is yoga,excellence in action is yoga,India
The Maharaja Sayajirao University of Baroda,satyaṃ śivaṃ sundaram / सत्यं शिवं सुन्दरम् / satyaM shivaM sundaram,Sanskrit,"truth, auspiciousness, beauty","truth, auspiciousness, beauty",India
Manipal University,pragyānam brahm / प्रज्ञानं ब्रह्म / pragyānam brahm,Sanskrit,Knowledge is the attainment of God,Knowledge is the attainment of God,India
Motilal Nehru National Institute of Technology,siddhirbhavati karmajā / सिद्धिर्भवति कर्मजा / siddhirbhavati karmajA,Sanskrit,success is born of action,success is born of action,India
"National Institute of Technology, Durgapur",udyogah purushasya lakshanam / उद्योगः पुरुषस्य लक्षणं / udyogah purushasya lakshanam,Sanskrit,industry is man's objective,industry is man's objective,India
"National Institute of Technology, Hamirpur",Udyamena hi siddhayānti kāryāṇi na manorathaiḥ / उद्यमेन हि सिद्धयान्ति कार्याणि न मनोरथैः,Sanskrit,"A goal is achieved through labor, not by desire only","A goal is achieved through labor, not by desire only",India
"National Institute of Technology, Kurukshetra",śramonavarata ceṣṭā ca / श्रमोनवरत चेष्टा च / shramonavarata cheShTA cha,Sanskrit,(tireless effort and attempt,(tireless effort and attempt,India
"National Institute of Technology,Raipur",नित्यं यातो शुभोदयं / Nityam Yato Shubhodayam,Sanskrit,Let the rise of goodness happen everyday,Let the rise of goodness happen everyday,India
"National Institute of Technology, Agartala",jñānaṃ paramaṃ balam / ज्ञानं परमं बलम् / GYaanaM paramaM balam,Sanskrit,knowledge is the supreme power,knowledge is the supreme power,India
Maulana Azad National Institute of Technology,vidha bharen bhooshanam,Sanskrit,,,India
National Institute of Technology Calicut,तमसो मा ज्योतिर्गमय (tamaso mā jyotir gamaya),Sanskrit,"From Darkness, Lead us unto Light","From Darkness, Lead us unto Light",India
Malaviya National Institute of Technology Jaipur,य़ॊगः कऱमसु कौशलम,Sanskrit,Diligence Leads to Excellence,Diligence Leads to Excellence,India
Dr. B. R. Ambedkar National Institute of Technology,सरस्वती नमस्तुभ्यम्,Sanskrit,I bow to mother saraswati (goddess saraswati).,I bow to mother saraswati (goddess saraswati).,India
"National Institute of Technology, Jamshedpur",शंन ॠभवः सुकृतः सुहस्ताः,Sanskrit,,,India
"National Institute of Technology, Patna",śramonavarata ceṣṭā ca / श्रमोनवरत चेष्टा च,Sanskrit,tireless effort and attempt,tireless effort and attempt,India
National Institute of Technology Raipur,नित्यं यातो शुभोदयं,Sanskrit,Let the rise of goodness happen everyday,Let the rise of goodness happen everyday,India
"National Institute of Technology, Silchar",tejasvi nāvadhītamastu / तेजस्वि नावधीतमस्तु,Sanskrit,May our knowledge become brilliant,May our knowledge become brilliant,India
"National Institute of Technology, Srinagar",الظلمات إلى النور /तमसो मा ज्योर्तिगमय,"Urdu, Sanskrit",Lead me from Darkness to Light,Lead me from Darkness to Light,India
"Sardar Vallabhbhai National Institute of Technology, Surat",विज्ञानम सारथि (Vigyanam Saarthi),Sanskrit,Charioteer(सारथि) of Science(विज्ञानम),Charioteer(सारथि) of Science(विज्ञानम),India
National Institute of Technology Karnataka,Kannada: ಕಾಯಕವೇ ಕೈಲಾಸ Sanskrit: तत्पूजा कर्मचाखिलम,"kannada, Sanskrit",Work is worship,Work is worship,India
"National Institute of Technology, Tiruchirappalli",सत्यमेव जयते,Sanskrit,Truth always wins,Truth always wins,India
"National Institute of Technology, Goa",या विद्या सा विमुक्तये,Sanskrit,True Knowledge Liberates,True Knowledge Liberates,India
VIT University,A place to learn; A chance to grow,English,A place to learn; A chance to grow,A place to learn; A chance to grow,India
Anna University,Progress through knowledge,English,Progress through knowledge,Progress through knowledge,India
"Loyola College, Chennai",Luceat Lux Vestra,Latin,Let your Light Shine,Let your Light Shine,India
"Scottish Church College, Kolkata",Nec Tamen Consumebatur,Latin,"Burning, but yet not consumed","Burning, but yet not consumed",India
"St. Xavier's College, Kolkata",Nihil Ultra,Latin,Nothing Beyond,Nothing Beyond,India
"St. Stephen's College, Delhi",Ad Dei Gloriam,Latin,To the Glory of God,To the Glory of God,India
Madras Christian College,In Hoc Signo,Latin,"With this as your banner, you shall prevail","With this as your banner, you shall prevail",India
"Presidency College, Chennai",unde orta recurrent,Latin,whence it arose back,whence it arose back,India
"Fergusson College, Pune","Knowledge is Power
DES:Union is strength",English,,"Knowledge is Power
DES:Union is strength",India
"Christ University, Bangalore",Excellence and Service,English,Excellence and Service,Excellence and Service,India
Netaji Subhas Institute of Technology,ā no bhadrāḥ kratavo yantu viśvataḥ / आ नो भद्राः क्रतवो यन्तु विश्वतः / A no bhadraaH kratavo yantu vishvataH [from (1.89.1 rigveda)],Sanskrit,"Let good (thoughts) come from everywhere, from all the world","Let good (thoughts) come from everywhere, from all the world",India
Osmania University,tamaso mā jyotirgamaya / तमसो मा ज्योतिर्गमय / tamaso mA jyotirgamaya,Sanskrit,Lead us from Darkness to Light,Lead us from Darkness to Light,India
National Law School of India University,dharmo rakṣati rakṣitaḥ / धर्मो रक्षति रक्षितः / dharmo rakShati rakShitaH,Sanskrit,values protect the protector (of values),values protect the protector (of values),India
Sampurnanand Sanskrit University,Sśrutam me gopāya / श्रुतम् मे गोपाय / shrutam me gopaaya,Sanskrit,"let my learning be safe, i.e. let it be fruitful, let me not forget my learning","let my learning be safe, i.e. let it be fruitful, let me not forget my learning",India
Samrat Ashok Technological Institute,yogaḥ karmasu kauśalam / योगः कर्मसु कौशलम् / yogaH karmasu kaushalam,Sanskrit,excellence in action is yoga,excellence in action is yoga,India
Sri Venkateswara University,Jnānam Samyaga Vekshanam,Sanskrit,Wisdom lies in proper perspective,Wisdom lies in proper perspective,India
Tilka Manjhi Bhagalpur University,tamaso mā jyotirgamaya / तमसो मा ज्योतिर्गमय / tamaso mA jyotirgamaya,Sanskrit,Lead us from Darkness to Light,Lead us from Darkness to Light,India
University of Calicut,Nirmaya Karmana Sree,Sanskrit,Prosperity will be produced by pure action,Prosperity will be produced by pure action,India
University of Hyderabad,Sa Vidhya Ya Vimukthaye,Sanskrit,Education results in liberation,Education results in liberation,India
University of Kerala,Karmani Vyajyate Prajna,Sanskrit,One's intellect is revealed through one's actions,One's intellect is revealed through one's actions,India
University of Mysore,"Nahi Jnanena Sadrusham,  Sathyamevoddharamyaham,",Sanskrit,"Nothing is Equal to Knowledge,   I uphold only the truth","Nothing is Equal to Knowledge,   I uphold only the truth",India
University of Rajasthan,Dharmo Vishwasya Jagatah Pratishtha,Sanskrit,Dharma is the firm foundation upon which the entire universe stands,Dharma is the firm foundation upon which the entire universe stands,India
Uttar Pradesh Technical University,yogaḥ karmasu kauśalam / योगः कर्मसु कौशलम् / yogaH karmasu kaushalam,Sanskrit,excellence in action is yoga,excellence in action is yoga,India
"Visvesvaraya National Institute of Technology Nagpur,",yogaḥ karmasu kauśalam / योगः कर्मसु कौशलम् / yogaH karmasu kaushalam,Sanskrit,excellence in action is yoga,excellence in action is yoga,India
West Bengal National University of Juridical Sciences,Yuktiheena Vicharetu Dharmahnih Prajayate,Sanskrit,Judgement Devoid Of Logic Destroys Dharma,Judgement Devoid Of Logic Destroys Dharma,India
Visvesvaraya Technological University,Modalu mānavanāgu,Kannada,"Above all, be human","Above all, be human",India
University of Allahabad,Quot Rami Tot Arbores,Latin,as many Branches so many Trees,as many Branches so many Trees,India
"Faculty of Psychology and Socio-Cultural Sciences, Universitas Islam Indonesia",Committed to Knowledge,English,,Committed to Knowledge,Indonesia
Institut Pertanian Bogor,Searching and Serving The Best,English,,Searching and Serving The Best,Indonesia
Institut Teknologi Bandung,In Harmonia Progressio,Latin,Progress in Harmony,Progress in Harmony,Indonesia
Institut Teknologi Sepuluh Nopember,Cerdas Ulet Kreatif,Bahasa Indonesia,Intelligent Tough Creative,Intelligent Tough Creative,Indonesia
Universitas Gadjah Mada,"Locally rooted, globally respected",English,,"Locally rooted, globally respected",Indonesia
Universitas Indonesia,Veritas Probitas Iustitia,Latin,"Truth, honesty, Justice","Truth, honesty, Justice",Indonesia
Universitas Islam Indonesia,Values. Innovation. Perfection.,English,,Values. Innovation. Perfection.,Indonesia
Universitas Islam Negeri Syarif Hidayatullah Jakarta,Knowledge Piety Integrity,English,,Knowledge Piety Integrity,Indonesia
Universitas Pendidikan Indonesia,Leading and Understanding,English,,Leading and Understanding,Indonesia
Universitas Sanata Dharma Yogyarta,Ad Maiorem Dei Gloriam,Latin,to the greater glory of God,to the greater glory of God,Indonesia
Universitas Kristen Indonesia,"Melayani, bukan Dilayani",Bahasa Indonesia,"To serve, not to be served (Matthew 20:28, Mark 10:45)","To serve, not to be served (Matthew 20:28, Mark 10:45)",Indonesia
Universitas HKBP Nommensen,Pro Deo et Patria,Latin,For God and Country,For God and Country,Indonesia
Nommensen HKBP University,Bagi Tuhan dan Ibu Pertiwi,Bahasa Indonesia,NA,NA,Indonesia
Universitas Muhammadiyah Yogyakarta,Unggul dan Islami,Bahasa Indonesia,Eminent and Islamic,Eminent and Islamic,Indonesia
Universitas Sriwijaya,Ilmu Alat Pengabdian,Bahasa Indonesia,Science as Dedication Services,Science as Dedication Services,Indonesia
Dublin City University,Ireland's University of Enterprise,English,,Ireland's University of Enterprise,Ireland
Maynooth University,Veritati Fir Fer,Latin,Truth Strength Courage,Truth Strength Courage,Ireland
NUI Galway,Deo favente,Latin,With the favour of God,With the favour of God,Ireland
University College Cork,"Where Finbarr taught, let Munster learn",English,,"Where Finbarr taught, let Munster learn",Ireland
University College Dublin,Ad Astra,Latin,To the stars,To the stars,Ireland
University of Limerick,Wisdom for action,English,,Wisdom for action,Ireland
University of Tehran,میاسای ز آموختن یک زمان,Persian,Rest not a moment from learning,Rest not a moment from learning,Iran
Tehran university of medical sciences,,English,Caring for a New Generation,,Iran
Iran University of Science and Technology,هیچ چیز غیرممکن نیست,Persian,Nothing is Impossible,Nothing is Impossible,Iran
Alzahra University,زنان آگاه جامعه پیشرفته,Persian,"Learned Woman, Progressive Society","Learned Woman, Progressive Society",Iran
Kharazmi University,آموختن برای زندگی بهتر,Persian,Learning for A Better Life,Learning for A Better Life,Iran
Pontifical Gregorian University,Religioni et Bonis Artibus,Latin,For Religion and Culture,For Religion and Culture,Italy
Sapienza University of Rome,Il futuro è passato qui,Italian,In here the future is already become past / The future has been here / The future has stopped by here,In here the future is already become past / The future has been here / The future has stopped by here,Italy
Sant'Anna School of Advanced Studies,Excellentiam ut disciplinam / L'eccellenza come disciplina,Latin/Italian,Committed to excellence,Committed to excellence,Italy
University of Bologna,Alma mater studiorum,Latin,Nourishing mother of the studies,Nourishing mother of the studies,Italy
University of Padua,Universa Universis Patavina Libertas,Latin,"Liberty of Padua, universally and for all","Liberty of Padua, universally and for all",Italy
University of Pisa,In Supremae Dignitatis,Latin,In the highest dignity,In the highest dignity,Italy
University of Venice (Ca' Foscari),Venetiarum universitas in domo Foscari,Latin,University of the Venices in Foscari's house,University of the Venices in Foscari's house,Italy
University of Naples (Federico II),Ad scientiarum haustum et seminarium doctrinarum,Latin,A seminary for those drawn to fields of knowledge and doctrine.,A seminary for those drawn to fields of knowledge and doctrine.,Italy
Keio University,Calamus gladio fortior[103],Latin,The pen is mightier than the sword[103],The pen is mightier than the sword[103],Japan
Waseda University,学問の独立 (Gakumon no Dokuritsu)[104],Japanese,Independence of scholarship[104],Independence of scholarship[104],Japan
Kwansei Gakuin University,奉仕のための練達 (Hōshi no Tame no Rentatsu)[105],Japanese,Mastery for Service[105],Mastery for Service[105],Japan
Rikkyo University,Pro Deo et Patria[106],Latin,For God and Country[106],For God and Country[106],Japan
Chung-Ang University (CAU),의에 죽고 참에 살자 (Euihe jookgo chame salja),Korean,"Live in Truth, Live for Justice","Live in Truth, Live for Justice",South_Korea
Ewha Womans University,"진, 선, 미 (Jin, Seon, Mi)",Korean,"Truth, Goodness, Beauty","Truth, Goodness, Beauty",South_Korea
Gyeongsang National University,개척 (Gaechok),Korean,Pioneer.,Pioneer.,South_Korea
Hankuk University of Foreign Studies (HUFS),외대로 오면 세계를 만난다 (Wedero omyeon Segyerul man-nanda),Korean,"Come to HUFS, Meet the World","Come to HUFS, Meet the World",South_Korea
Hanyang University,사랑의 실천 (Sarang-eui shilcheon),Korean,Love in Truth and in Deed.,Love in Truth and in Deed.,South_Korea
Hongik University,Pro Hominum Beneficio,Latin,Act of kindness for the human kind,Act of kindness for the human kind,South_Korea
Konkuk University,"성, 신, 의 (Seong, Shin, Ui)",Korean,"Sincerity, Fidelity, and Righteousness","Sincerity, Fidelity, and Righteousness",South_Korea
Korea Advanced Institute of Science and Technology (KAIST),"Education for the world, research for the future",English,,"Education for the world, research for the future",South_Korea
Korea National University of Education (KNUE),"사랑, 신뢰, 인내 (Sarang, Silloe, Innae)",Korean,"Love, Confidence, and Patience","Love, Confidence, and Patience",South_Korea
Korea University,"자유, 정의, 진리 (Jayu, Jungeu, Jinli)",Korean,"Freedom, Justice, Truth","Freedom, Justice, Truth",South_Korea
Pohang University of Science and Technology (POSTECH),"성실, 창의, 진취 (Sungsil, Changeui, Jinchi)",Korean,"Integrity, Creativity, and Aspiration","Integrity, Creativity, and Aspiration",South_Korea
Seoul National University (SNU),Veritas lux mea,Latin,Truth is my light.,Truth is my light.,South_Korea
Sogang University,Obedire Veritati,Latin,Obey the Truth.,Obey the Truth.,South_Korea
Sookmyung Women's University,"정숙, 현명, 정대 (Jeongsook, Hyunmyung, Jeongdae)",Korean,"Modesty, Wisdom, and Justice","Modesty, Wisdom, and Justice",South_Korea
Soongsil University,진리와 봉사 (Jinliwa Bongsa),Korean,Truth and Service.,Truth and Service.,South_Korea
Sungkyunkwan University,수기치인 (Su Gi Chi In),Korean,Pursue Truth and Embody Social Justice [the Analects of Confucius],Pursue Truth and Embody Social Justice [the Analects of Confucius],South_Korea
Yonsei University,진리가 너희를 자유롭게 하리라. (Jinli-ga neohui-rul jayuropke-harira),Korean,Truth will set you free. [John 8:32],Truth will set you free. [John 8:32],South_Korea
University of Latvia,Scientiae et patriae [2],Latin,For science and fatherland,For science and fatherland,Latvia
Daugavpils University,Scientia Vinces [3],Latin,Through knowledge you win,Through knowledge you win,Latvia
American University of Beirut,That they may have life and have it more abundantly,English,[John 10:10],That they may have life and have it more abundantly,Lebanon
University of Macau,仁義禮知信[107],Classical Chinese,"Humanity, integrity, propriety, wisdom and sincerity[108]","Humanity, integrity, propriety, wisdom and sincerity[108]",Macau
University of Antananarivo,Izay adala no toa an-drainy,Malagasy,Foolish is he who seeks only to emulate his father,Foolish is he who seeks only to emulate his father,Madagascar
International Islamic University Malaysia,Taman Ilmu dan Budi,Malay,Garden of Knowledge and Virtue,Garden of Knowledge and Virtue,Malaysia
Multimedia University,"Inquire, Inspire and Innovate[109][110]",English,,"Inquire, Inspire and Innovate[109][110]",Malaysia
National University of Malaysia,"Mengilham harapan, mencipta masa depan[111]",Malay,"Inspiring futures, nurturing possibilities[112]","Inspiring futures, nurturing possibilities[112]",Malaysia
Tun Hussein Onn University of Malaysia,Dengan Hikmah Kita Meneroka[113],Malay,"With Wisdom, We Explore[114]","With Wisdom, We Explore[114]",Malaysia
Sultan Zainal Abidin University,Ilmu Demi Faedah Insan[115],Malay,Knowledge for the Benefit of Humanity[115],Knowledge for the Benefit of Humanity[115],Malaysia
Universiti Malaya,Ilmu Punca Kemajuan,Malay,Knowledge is the Key to Success,Knowledge is the Key to Success,Malaysia
Universiti Malaysia Sarawak,Bersifat Sezaman dan Berpandangan Jauh,Malay,Contemporary and Forward Looking,Contemporary and Forward Looking,Malaysia
Universiti Putra Malaysia,Berilmu Berbakti,Malay,With Knowledge We Serve,With Knowledge We Serve,Malaysia
Universiti Sains Malaysia,Kami Memimpin,Malay,We Lead,We Lead,Malaysia
Universiti Teknologi Malaysia,Kerana Tuhan Untuk Manusia[116],Malay,In the Name of God for Mankind[116],In the Name of God for Mankind[116],Malaysia
Universiti Teknologi Mara,"Usaha, Taqwa, Mulia[117]",Malay,"Endeavour, Religious, Dignified[118]","Endeavour, Religious, Dignified[118]",Malaysia
Universiti Utara Malaysia,"Ilmu, Budi, Bakti[119]",Malay,"Scholarship, Virtue, Service[120]","Scholarship, Virtue, Service[120]",Malaysia
Universidad de las Américas Puebla,"Sapientia, Pax, Fraternitas",Latin,"Wisdom, Peace, Brotherhood","Wisdom, Peace, Brotherhood",Mexico
Universidad Anahuac - UAX,Vince in bono malum,Latin,Conquer evil with good.,Conquer evil with good.,Mexico
Universidad Autónoma de la Ciudad de México,Nada Humano me es Ajeno,Spanish,Nothing human is alien to me,Nothing human is alien to me,Mexico
Universidad Tecnologica de Mexico - UNITEC,Ciencia y Técnica con Humanismo,Spanish,Science and technics with humanism,Science and technics with humanism,Mexico
Autonomous University of Campeche,Del Enigma sin Albas a Triángulos de Luz,Spanish,From Mystery Without a Dawn to Triangles of Light,From Mystery Without a Dawn to Triangles of Light,Mexico
Universidad de Monterrey,Homo Hominis in Ministerio Perficitur,Latin,Man is perfected through the service of man,Man is perfected through the service of man,Mexico
Autonomous University of Nuevo Leon,Alere Flammam Veritatis,Latin,To feed the flame of truth.,To feed the flame of truth.,Mexico
Autonomous University of Baja California,Por la realización plena del hombre,Spanish,For man's fulfillment,For man's fulfillment,Mexico
Autonomous University of Chihuahua,"Luchar para Lograr, Lograr para Dar",Spanish,"Fight to Achieve, Achieve to Give","Fight to Achieve, Achieve to Give",Mexico
Instituto Tecnológico Autónomo de México - ITAM,Los mejores profesores para los mejores estudiantes,Spanish,The best teachers for the best students.,The best teachers for the best students.,Mexico
Instituto Politécnico Nacional - IPN,La técnica al servicio de la patria,Spanish,Technique at the service of the fatherland,Technique at the service of the fatherland,Mexico
Universidad Iberoamericana,La Verdad Nos Hará Libres,Spanish,The truth will set us free. [John 8:32],The truth will set us free. [John 8:32],Mexico
Universidad Juarez Autonoma de Tabasco,"Estudio en la Duda, Acción en la Fe",Spanish,"Study in doubtful things, action in the Faith.","Study in doubtful things, action in the Faith.",Mexico
University of Guadalajara,Piensa y Trabaja,Spanish,Think and Work,Think and Work,Mexico
Sonora Institute of Technology,Educar para trascender,Spanish,Educate to transcend,Educate to transcend,Mexico
Universidad de Sonora,El saber de mis hijos hará mi grandeza,Spanish,The knowledge of my children will be my greatness,The knowledge of my children will be my greatness,Mexico
National Autonomous University of Mexico,Por mi raza hablará el espíritu,Spanish,For my people the Spirit will speak,For my people the Spirit will speak,Mexico
National Polytechnic Institute,La técnica al servicio de la patria,Spanish,The technique to the service of the fatherland,The technique to the service of the fatherland,Mexico
Universidad Veracruzana,"Lis de Veracruz, Arte, Ciencia, Luz",Spanish,"Lily of Veracruz, Art, Science, Light","Lily of Veracruz, Art, Science, Light",Mexico
Universidad Autónoma de Yucatán,"Luz, Ciencia, y Verdad",Spanish,"Light, Science, and Truth","Light, Science, and Truth",Mexico
Universidad Autonoma Agraria Antonio Narro,Alma Terra Mater,Latin,Kindly Mother Earth,Kindly Mother Earth,Mexico
Ion Creangă Pedagogical State University,Disce ut doceas,Latin,Learn in order to teach,Learn in order to teach,Moldova
Moldova State University,Vitae discimus,Latin,For life we learn,For life we learn,Moldova
Nicolae Testemițanu State University of Medicine and Pharmacy,Lucendo allis ego ipse ardeo!,Latin,"While I burn, I give light to others!","While I burn, I give light to others!",Moldova
Delft University of Technology,Challenge the Future,English,,Challenge the Future,The_Netherlands
Eindhoven University of Technology,Mens Agitat Molem,Latin,The mind moves matter,The mind moves matter,The_Netherlands
Erasmus University,Main port of knowledge,English,,Main port of knowledge,The_Netherlands
Groningen University,Verbum domini lucerna pedibus nostris,Latin,The word of the Lord is a light for our feet,The word of the Lord is a light for our feet,The_Netherlands
Kampen Theological University,In lumine tuo videmus lumen,Latin,In Your Light we see the light,In Your Light we see the light,The_Netherlands
Leiden University,Praesidium Libertatis,Latin,Bastion of Freedom,Bastion of Freedom,The_Netherlands
Maastricht University,Leading in Learning,English,,Leading in Learning,The_Netherlands
Nyenrode Business University,The Spirit of Enterprise,English,,The Spirit of Enterprise,The_Netherlands
Radboud University Nijmegen,In Dei Nomine Feliciter,Latin,May we proceed with happiness in God's name,May we proceed with happiness in God's name,The_Netherlands
Tilburg University,Understanding Society,English,,Understanding Society,The_Netherlands
University of Twente,"High Tech, Human Touch",English,,"High Tech, Human Touch",The_Netherlands
University of Amsterdam,(no official motto),,,,The_Netherlands
Utrecht University,Sol Iustitiae Illustra Nos,Latin,"Sun of Justice, Enlighten Us","Sun of Justice, Enlighten Us",The_Netherlands
Free University Amsterdam,Auxilium nostrum in nomine Domini,Latin,Our help is in the name of the Lord,Our help is in the name of the Lord,The_Netherlands
Wageningen University,For quality of life,English,,For quality of life,The_Netherlands
Lincoln University,Scientia et industria cum probitate,Latin,Science and industry with integrity,Science and industry with integrity,New_Zealand
Massey University,Floreat scientia,Latin,Let knowledge flourish,Let knowledge flourish,New_Zealand
University of Auckland,Ingenio et Labore,Latin,By natural ability and hard work,By natural ability and hard work,New_Zealand
University of Canterbury,Ergo tua rura manebunt,Latin,"Therefore, your fields will remain (yours)","Therefore, your fields will remain (yours)",New_Zealand
University of Otago,Sapere aude,Latin,Dare to be wise,Dare to be wise,New_Zealand
University of Waikato,Ko te tangata,Māori,For the people,For the people,New_Zealand
Victoria University of Wellington,Sapientia magis auro desideranda,Latin,Wisdom is desired more than gold,Wisdom is desired more than gold,New_Zealand
"International Islamic University, Islamabad",وفوق كل ذي علم عليم,Arabic (quote from Quran),And above every possessor of knowledge is someone more knowledgeable,And above every possessor of knowledge is someone more knowledgeable,Pakistan
"Al-Islah Islamic Education System, Sadiqabad, RYK",إن أريد إلا الإصلاح ما استطعت,Arabic (quote from Quran),I only seek advancement to the best of my abilities,I only seek advancement to the best of my abilities,Pakistan
"University of Agriculture, Faisalabad","Et ex omnibus virtutibus Universitatis brings, inter incapability",Latin,"The University brings out all abilities, including incapability","The University brings out all abilities, including incapability",Pakistan
University of Karachi,رَبِّ زدْنيِ علماً,Arabic,O my Lord! Advance me in Knowledge,O my Lord! Advance me in Knowledge,Pakistan
"Institute of Management Sciences, Lahore",Where Aims Become Achievement,English,,Where Aims Become Achievement,Pakistan
Institute of Business Administration (Karachi),Leadership and Ideas for Tomorrow,English,,Leadership and Ideas for Tomorrow,Pakistan
COMSATS Institute of Information Technology,We Aim to Inspire,English,,We Aim to Inspire,Pakistan
PISTON COLLEGE S.I.T.E. KARACHI,LIFELONG LEARNING,English,,LIFELONG LEARNING,Pakistan
Catholic University of Asunción,In Principio Erat Verbum - Genuit Nos Verbo Veritatis,Latin,"In the Beginning was the Word - He Has Begotten Us by the Word of Truth [John 1:1], [James 1:18]","In the Beginning was the Word - He Has Begotten Us by the Word of Truth [John 1:1], [James 1:18]",Paraguay
